# Command,Expeditor DSD_Analytics.csv --outputDir DSD_Analytics_Expeditor -overwrite -nocollect -np 4 -ntpp 1 --hashed -killflagfile C:/Users/began/AppData/Local/Temp/semuKillFiled11372
# Started,2018-10-12 14:59:25
# Output folder,C:\Users\began\Documents\Product_80\New_Tutorial\DSD\DSD_Analytics\DSD_Analytics_Expeditor

# Assembly File,..\14nmFinFET.zam


Run,2.1.15:thickness,2.1.15:type.conformal.lateralRatio,2.1.9:lithography.dimensionalBias.xBias,2.1.9:thickness,2.2.9.2.2:materials['/Organics/'].etchType.sputter.maxYieldAngle,2.2.9.2.2:materials['/Organics/'].etchType.sputter.sputterRatio,2.2.9.2.2:materials['/Silicon/'].etchRatio,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].lateralRatio,CD_MAND_DEV,CD_MAND_FIN,SH_MAND_FIN,THK_PADOX_DEP,THK_PADNIT_DEP,Trench_CD,FinCD_Top,FinCD_Top_xStart,FinCD_Top_yStart,FinCD_Top_zStart,FinCD_Top_xEnd,FinCD_Top_yEnd,FinCD_Top_zEnd,FinCD_Mid,FinCD_Mid_xStart,FinCD_Mid_yStart,FinCD_Mid_zStart,FinCD_Mid_xEnd,FinCD_Mid_yEnd,FinCD_Mid_zEnd,FinCD_Bot,FinCD_Bot_xStart,FinCD_Bot_yStart,FinCD_Bot_zStart,FinCD_Bot_xEnd,FinCD_Bot_yEnd,FinCD_Bot_zEnd,GapCD_top,sidewall_angle,Duration
Run-0,45.0,0.7,4.0,70.0,60.0,0.3,1.0,7.0,0.03,39.04,34.1255952582,43.25,3.0,30.0,36.9855072464,18.848,453.976,171.5,9.8000000000000000e+01,472.824,171.5,9.8000000000000000e+01,29.476,448.68,171.5,5.0000000000000000e+01,478.156,171.5,5.0000000000000000e+01,41.718,442.563,171.5,0.0000000000000000e+00,484.281,171.5,0.0000000000000000e+00,24.9402498642,NOVAL,0:09:16 (H:M:S)
Run-1,35.0,0.5,-4.0,70.0,40.0,0.1,0.8,3.0,0.01,55.04,50.1255952582,43.25,3.0,30.0,48.9987492183,8.93,458.039,171.5,9.8000000000000000e+01,466.969,171.5,9.8000000000000000e+01,13.797,455.492,171.5,5.0000000000000000e+01,469.289,171.5,5.0000000000000000e+01,29.367,449.28,171.5,0.0000000000000000e+00,478.647,171.5,0.0000000000000000e+00,34.3624117434,4.91054546491,0:06:18 (H:M:S)
Run-2,35.0,0.6,4.0,90.0,40.0,0.1,0.8,7.0,0.03,39.04,34.1255952582,43.25,3.0,30.0,34.9947252316,9.566,463.938,171.5,9.8000000000000000e+01,473.504,171.5,9.8000000000000000e+01,20.5,458.438,171.5,5.0000000000000000e+01,478.938,171.5,5.0000000000000000e+01,NOVAL,493.754,171.5,0.0000000000000000e+00,NOVAL,NOVAL,0.0000000000000000e+00,44.949077021,8.03597578439,0:05:55 (H:M:S)
Run-3,45.0,0.6,-4.0,50.0,60.0,0.3,1.0,3.0,0.01,55.04,50.1255952582,43.25,3.0,30.0,50.8334529792,18.258,448.547,171.5,9.8000000000000000e+01,466.805,171.5,9.8000000000000000e+01,23.219,445.844,171.5,5.0000000000000000e+01,469.063,171.5,5.0000000000000000e+01,28.477,443.211,171.5,0.0000000000000000e+00,471.688,171.5,0.0000000000000000e+00,14.9145373619,5.03310287862,0:09:53 (H:M:S)
Run-4,45.0,0.5,4.0,90.0,60.0,0.1,0.9,3.0,0.01,39.04,34.1255952582,43.25,3.0,30.0,34.7845884413,14.11,460.781,171.5,9.8000000000000000e+01,474.891,171.5,9.8000000000000000e+01,19.25,457.93,171.5,5.0000000000000000e+01,477.18,171.5,5.0000000000000000e+01,24.898,455.125,171.5,0.0000000000000000e+00,480.023,171.5,0.0000000000000000e+00,38.9831387808,4.61956051101,0:08:23 (H:M:S)
Run-5,35.0,0.7,-4.0,50.0,40.0,0.3,0.9,7.0,0.03,55.04,50.1255952582,43.25,3.0,30.0,52.9160926738,12.344,452.828,171.5,9.8000000000000000e+01,465.172,171.5,9.8000000000000000e+01,23.133,447.422,171.5,5.0000000000000000e+01,470.555,171.5,5.0000000000000000e+01,35.461,441.273,171.5,0.0000000000000000e+00,476.734,171.5,0.0000000000000000e+00,22.9475171592,8.03438560182,0:06:54 (H:M:S)
Run-6,45.0,0.5,-4.0,90.0,60.0,0.2,0.8,7.0,0.03,55.04,50.1255952582,43.25,3.0,30.0,50.9946545147,11.898,453.586,171.5,9.8000000000000000e+01,465.484,171.5,9.8000000000000000e+01,22.804,448.102,171.5,5.0000000000000000e+01,470.906,171.5,5.0000000000000000e+01,43.012,439.144,171.5,0.0000000000000000e+00,482.156,171.5,0.0000000000000000e+00,24.8608414239,8.243559195,0:06:36 (H:M:S)
Run-7,35.0,0.7,4.0,50.0,40.0,0.2,1.0,3.0,0.01,39.04,34.1255952582,43.25,3.0,30.0,34.8348887294,14.953,459.844,171.5,9.8000000000000000e+01,474.797,171.5,9.8000000000000000e+01,20.133,456.922,171.5,5.0000000000000000e+01,477.055,171.5,5.0000000000000000e+01,25.383,454.289,171.5,0.0000000000000000e+00,479.672,171.5,0.0000000000000000e+00,36.9943181818,4.21059894625,0:07:39 (H:M:S)
Run-8,40.0,0.5,-4.0,90.0,40.0,0.3,1.0,3.0,0.03,55.04,50.1255952582,43.25,3.0,30.0,52.9942256177,7.406,457.289,171.5,9.8000000000000000e+01,464.695,171.5,9.8000000000000000e+01,11.437,455.266,171.5,5.0000000000000000e+01,466.703,171.5,5.0000000000000000e+01,16.68,452.648,171.5,0.0000000000000000e+00,469.328,171.5,0.0000000000000000e+00,30.9941502314,7.5933404663,0:06:51 (H:M:S)
Run-9,40.0,0.7,4.0,50.0,60.0,0.1,0.8,7.0,0.01,39.04,34.1255952582,43.25,3.0,30.0,32.967617579,19.211,455.961,171.5,9.8000000000000000e+01,475.172,171.5,9.8000000000000000e+01,31.204,449.609,171.5,5.0000000000000000e+01,480.813,171.5,5.0000000000000000e+01,NOVAL,441.051,171.5,0.0000000000000000e+00,NOVAL,NOVAL,0.0000000000000000e+00,29.6864278848,NOVAL,0:06:42 (H:M:S)
