2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.1.9:lithography.dimensionalBias.xBias,2.1.15:thickness,FinCD_Bot,FinCD_Top,GapCD_top,Trench_CD,ObjFunction_Value
4.0,0.0,35.0,25.43,11.743,36.3503129968,42.7629629052,0.39432937343772068
4.0,2.0,35.0,25.43,11.743,40.3503129968,38.7630799605,0.12218210099719329
5.0,0.0,35.0,28.954,11.856,36.3211874788,42.6710526316,0.40044363618238066
5.0,2.0,35.0,28.954,11.856,40.3211874788,38.6732571865,0.13641515577185004
3.0,2.0,37.5,23.508,13.516,36.8449498152,38.8334529792,0.21863578421350383
4.0,2.0,37.5,26.985,13.532,36.7761953933,38.7628458498,0.058564355623772713
3.0,4.0,37.5,23.508,13.512,40.8449498152,34.8334529792,0.42844050022275582
5.0,2.0,37.5,30.484,13.563,36.7100066903,38.6717212274,0.21972250057095977
4.0,4.0,37.5,26.985,13.5355,40.7761953933,34.7628458498,0.26990062788329539
3.0,4.0,40.0,25.305,14.938,36.99356382,34.8334529792,0.27867064281004872
4.0,4.0,40.0,28.812,15.039,36.9913860611,34.762611276,0.29616721260404688
4.3344051002184933,1.3316192818137058,34.997557837320294,26.593,11.777,38.3491584383,40.7268623025,0.10995976451556544
4.0399091400770875,1.9201071996588122,35.003039228978928,25.984,12.039,38.9896013865,38.7645895153,0.036788074372530843
3.3287867920688936,2.0001252025527516,37.08684494870009,24.5,13.1135,36.9624893436,38.8164556962,0.12359519842925693
4.871662333247909,2.0000651452691915,35.152732921182334,28.75,11.967,39.9305628394,38.6763157895,0.10181033655849347
4.5078220538497762,2.0000517999324123,35.613225073641175,27.68,12.293,38.9093523393,38.7252690646,0.02643012004030254
4.4911662398638796,2.5083325272389549,37.499278698481589,28.703,13.512,36.7736165535,38.7239819005,0.09518321672854313
4.991765162188142,2.0166284311397695,37.499345523455887,30.453,13.563,36.7096790381,38.6717212274,0.21691653074923067
4.8298160062520088,2.34157602947925,37.503381220764787,29.914,13.578,36.7061249228,38.6752143993,0.17264769048431106
4.4275360102526982,3.143545604872835,37.505007878279784,28.492,13.555,38.7115110074,36.7242937853,0.089320459509686145
3.7104288559932934,4.0002547168190175,38.223153631289719,26.507,13.801,40.3382953102,34.7922535211,0.24840593770271369
3.0546584027202588,3.9996048468872409,39.864288110311385,25.453,14.867,37.9598259688,34.8332135155,0.25606170658670635
3.9496306824658283,4.0000692580879615,37.624581707443497,26.844,13.696,40.6734380241,34.7630799605,0.26882521337238074
3.0794265331822253,3.9999648629123943,39.990966344622954,25.61,14.946,36.9960912052,34.8318965517,0.2677369067790849
4.7987503259998547,1.9089575888745898,35.126946222481813,28.789,12.308,38.8713376641,38.6882430647,0.063713396236025233
4.7563198872030172,1.8561889800098292,35.120033670849637,27.789,11.985,37.9708566382,38.9982616254,0.022818209424144698
4.1328469909935706,2.35193349436538,37.371938097350245,27.43,13.398,36.8459256121,38.7615046371,0.053727702403421063
3.685099214115434,2.1559283538624801,37.217736093549981,25.821,13.219,36.9342986797,38.7924362357,0.061874305867853252
4.3630180521770914,2.4523558637783514,37.450395792649857,28.242,13.484,36.7834740242,38.7249154453,0.076018641076551319
4.1605068949456703,3.463405737506327,37.773375042625496,27.719,13.8005,38.3642305334,36.7274774775,0.072138815474900753
3.9996237802260417,3.6554150207521481,37.937926439435806,27.079,13.821,38.3598077243,36.7645895153,0.064892929234630969
3.3411605630721062,4.0001392361021173,39.149016338172686,25.711,14.66,38.7819384736,34.8148734177,0.24602270850076735
4.7573305630219282,1.8577852003293958,35.120229269349316,27.789,11.985,37.9708566382,38.9982616254,0.022817944342897079
4.7592656926194268,1.8592879106667231,35.12132226437398,27.789,11.9805,37.9748412895,38.9982616254,0.022816171562119791
4.2005223592871879,2.0417304330759523,36.247261644419218,26.821,12.847,38.3446081327,38.7294250282,0.019152079156427249
4.2202253689865525,2.0371235860233474,36.211740027134745,26.859,12.8395,38.3549566198,38.7294250282,0.018929032308456328
4.2292074646657678,2.0353191575021126,36.196957618614547,26.875,12.832,38.3571398622,38.7294250282,0.01872751812044271
4.7061051964252547,1.9290843207522088,35.300830607028516,28.422,12.2775,38.9151050329,38.6771653543,0.047564340421047291
4.5328466694868048,1.9684694888967409,35.625089431788744,27.797,12.332,38.8713380106,38.7272218322,0.028258686804797151
4.0871538104381084,2.3318357844596949,37.359841594835096,27.258,13.398,36.8462096271,38.762611276,0.052198248666471159
3.8261716602282521,2.2178982275332921,37.270367353439724,26.305,13.289,36.9025378624,38.7650542942,0.052375983553993422
3.942975543656956,2.2690437251673963,37.304881541096343,26.719,13.325,36.8648604704,38.7650542942,0.049306574515185275
3.7466686791013322,3.7879422080042273,38.403823929191994,26.625,13.805,38.3363724463,36.7904929577,0.064100916912877892
4.7574290481408061,1.8580504944113356,35.123003631546553,27.789,11.985,37.9708566382,38.9982616254,0.022816163009281354
4.7577140709327574,1.8587420324906543,35.123558455031677,27.789,11.9885,37.9708566382,38.9982616254,0.022814456727765275
4.2888546677811616,2.0222509460251672,36.080045518168824,27.101,12.765,38.364236607,38.7271702368,0.017265218991504128
4.2223386579631486,2.0365924890653289,36.205812769603128,26.867,12.828,38.3549344737,38.7284512528,0.018619818265349863
