Assembly File,..\14nmFinFET.zam

Runs,2.1.15:thickness,2.1.9:lithography.dimensionalBias.xBias,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle
0,35.0,-4.0,3.0
1,35.0,-4.0,4.0
2,35.0,-4.0,5.0
3,35.0,-4.0,6.0
4,35.0,-4.0,7.0
5,35.0,-2.0,3.0
6,35.0,-2.0,4.0
7,35.0,-2.0,5.0
8,35.0,-2.0,6.0
9,35.0,-2.0,7.0
10,35.0,0.0,3.0
11,35.0,0.0,4.0
12,35.0,0.0,5.0
13,35.0,0.0,6.0
14,35.0,0.0,7.0
15,35.0,2.0,3.0
16,35.0,2.0,4.0
17,35.0,2.0,5.0
18,35.0,2.0,6.0
19,35.0,2.0,7.0
20,35.0,4.0,3.0
21,35.0,4.0,4.0
22,35.0,4.0,5.0
23,35.0,4.0,6.0
24,35.0,4.0,7.0
25,37.5,-4.0,3.0
26,37.5,-4.0,4.0
27,37.5,-4.0,5.0
28,37.5,-4.0,6.0
29,37.5,-4.0,7.0
30,37.5,-2.0,3.0
31,37.5,-2.0,4.0
32,37.5,-2.0,5.0
33,37.5,-2.0,6.0
34,37.5,-2.0,7.0
35,37.5,0.0,3.0
36,37.5,0.0,4.0
37,37.5,0.0,5.0
38,37.5,0.0,6.0
39,37.5,0.0,7.0
40,37.5,2.0,3.0
41,37.5,2.0,4.0
42,37.5,2.0,5.0
43,37.5,2.0,6.0
44,37.5,2.0,7.0
45,37.5,4.0,3.0
46,37.5,4.0,4.0
47,37.5,4.0,5.0
48,37.5,4.0,6.0
49,37.5,4.0,7.0
50,40.0,-4.0,3.0
51,40.0,-4.0,4.0
52,40.0,-4.0,5.0
53,40.0,-4.0,6.0
54,40.0,-4.0,7.0
55,40.0,-2.0,3.0
56,40.0,-2.0,4.0
57,40.0,-2.0,5.0
58,40.0,-2.0,6.0
59,40.0,-2.0,7.0
60,40.0,0.0,3.0
61,40.0,0.0,4.0
62,40.0,0.0,5.0
63,40.0,0.0,6.0
64,40.0,0.0,7.0
65,40.0,2.0,3.0
66,40.0,2.0,4.0
67,40.0,2.0,5.0
68,40.0,2.0,6.0
69,40.0,2.0,7.0
70,40.0,4.0,3.0
71,40.0,4.0,4.0
72,40.0,4.0,5.0
73,40.0,4.0,6.0
74,40.0,4.0,7.0
75,42.5,-4.0,3.0
76,42.5,-4.0,4.0
77,42.5,-4.0,5.0
78,42.5,-4.0,6.0
79,42.5,-4.0,7.0
80,42.5,-2.0,3.0
81,42.5,-2.0,4.0
82,42.5,-2.0,5.0
83,42.5,-2.0,6.0
84,42.5,-2.0,7.0
85,42.5,0.0,3.0
86,42.5,0.0,4.0
87,42.5,0.0,5.0
88,42.5,0.0,6.0
89,42.5,0.0,7.0
90,42.5,2.0,3.0
91,42.5,2.0,4.0
92,42.5,2.0,5.0
93,42.5,2.0,6.0
94,42.5,2.0,7.0
95,42.5,4.0,3.0
96,42.5,4.0,4.0
97,42.5,4.0,5.0
98,42.5,4.0,6.0
99,42.5,4.0,7.0
100,45.0,-4.0,3.0
101,45.0,-4.0,4.0
102,45.0,-4.0,5.0
103,45.0,-4.0,6.0
104,45.0,-4.0,7.0
105,45.0,-2.0,3.0
106,45.0,-2.0,4.0
107,45.0,-2.0,5.0
108,45.0,-2.0,6.0
109,45.0,-2.0,7.0
110,45.0,0.0,3.0
111,45.0,0.0,4.0
112,45.0,0.0,5.0
113,45.0,0.0,6.0
114,45.0,0.0,7.0
115,45.0,2.0,3.0
116,45.0,2.0,4.0
117,45.0,2.0,5.0
118,45.0,2.0,6.0
119,45.0,2.0,7.0
120,45.0,4.0,3.0
121,45.0,4.0,4.0
122,45.0,4.0,5.0
123,45.0,4.0,6.0
124,45.0,4.0,7.0
End
