# Command,Expeditor FF_PMC_DO_Analytics.csv --outputDir FF_PMC_DO_Analytics_Expeditor -overwrite -nocollect -np 4 -ntpp 1 --hashed -killflagfile C:/Users/began/AppData/Local/Temp/semuKillFiled12472
# Started,2018-10-13 09:05:25
# Output folder,C:\Users\began\Documents\Product_80\New_Tutorial\FF_PMC_DO\FF_PMC_DO_Analytics\FF_PMC_DO_Analytics_Expeditor

# Assembly File,..\14nmFinFET.zam


Run,2.1.15:thickness,2.1.9:lithography.dimensionalBias.xBias,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,CD_MAND_DEV,CD_MAND_FIN,SH_MAND_FIN,THK_PADOX_DEP,THK_PADNIT_DEP,Trench_CD,FinCD_Top,FinCD_Top_xStart,FinCD_Top_yStart,FinCD_Top_zStart,FinCD_Top_xEnd,FinCD_Top_yEnd,FinCD_Top_zEnd,FinCD_Mid,FinCD_Mid_xStart,FinCD_Mid_yStart,FinCD_Mid_zStart,FinCD_Mid_xEnd,FinCD_Mid_yEnd,FinCD_Mid_zEnd,FinCD_Bot,FinCD_Bot_xStart,FinCD_Bot_yStart,FinCD_Bot_zStart,FinCD_Bot_xEnd,FinCD_Bot_yEnd,FinCD_Bot_zEnd,GapCD_top,sidewall_angle,Duration
Run-0,35.0,-4.0,3.0,55.04,50.1255952582,43.25,3.0,30.0,50.8348887294,11.68,455.117,171.5,9.8000000000000000e+01,466.797,171.5,9.8000000000000000e+01,16.68,452.375,171.5,5.0000000000000000e+01,469.055,171.5,5.0000000000000000e+01,21.914,449.758,171.5,0.0000000000000000e+00,471.672,171.5,0.0000000000000000e+00,28.5445612083,5.03138083795,0:07:45 (H:M:S)
Run-1,35.0,-4.0,4.0,55.04,50.1255952582,43.25,3.0,30.0,50.7630799605,11.743,455.109,171.5,9.8000000000000000e+01,466.852,171.5,9.8000000000000000e+01,18.461,451.492,171.5,5.0000000000000000e+01,469.953,171.5,5.0000000000000000e+01,25.43,448.0,171.5,0.0000000000000000e+00,473.43,171.5,0.0000000000000000e+00,28.3503129968,5.3047498634,0:07:59 (H:M:S)
Run-2,35.0,-4.0,5.0,55.04,50.1255952582,43.25,3.0,30.0,50.6710526316,11.856,455.07,171.5,9.8000000000000000e+01,466.926,171.5,9.8000000000000000e+01,20.219,450.617,171.5,5.0000000000000000e+01,470.836,171.5,5.0000000000000000e+01,28.954,446.234,171.5,0.0000000000000000e+00,475.188,171.5,0.0000000000000000e+00,28.3211874788,6.11611941154,0:08:45 (H:M:S)
Run-3,35.0,-4.0,6.0,55.04,50.1255952582,43.25,3.0,30.0,50.5023405377,11.92725,455.031,171.5,9.8000000000000000e+01,466.95825,171.5,9.8000000000000000e+01,21.985,449.742,171.5,5.0000000000000000e+01,471.727,171.5,5.0000000000000000e+01,32.461,444.5,171.5,0.0000000000000000e+00,476.961,171.5,0.0000000000000000e+00,28.2852802796,7.00112139442,0:07:48 (H:M:S)
Run-4,35.0,-4.0,7.0,55.04,50.1255952582,43.25,3.0,30.0,48.9934917012,11.985,455.031,171.5,9.8000000000000000e+01,467.016,171.5,9.8000000000000000e+01,23.696,448.859,171.5,5.0000000000000000e+01,472.555,171.5,5.0000000000000000e+01,35.946,442.742,171.5,0.0000000000000000e+00,478.688,171.5,0.0000000000000000e+00,28.257064326,7.91281424441,0:07:55 (H:M:S)
Run-5,35.0,-2.0,3.0,51.04,46.1255952582,43.25,3.0,30.0,46.8348887294,11.68,457.117,171.5,9.8000000000000000e+01,468.797,171.5,9.8000000000000000e+01,16.68,454.375,171.5,5.0000000000000000e+01,471.055,171.5,5.0000000000000000e+01,21.914,451.758,171.5,0.0000000000000000e+00,473.672,171.5,0.0000000000000000e+00,32.5445612083,4.68304700259,0:07:53 (H:M:S)
Run-6,35.0,-2.0,4.0,51.04,46.1255952582,43.25,3.0,30.0,46.7630799605,11.743,457.109,171.5,9.8000000000000000e+01,468.852,171.5,9.8000000000000000e+01,18.461,453.492,171.5,5.0000000000000000e+01,471.953,171.5,5.0000000000000000e+01,25.43,450.0,171.5,0.0000000000000000e+00,475.43,171.5,0.0000000000000000e+00,32.3503129968,5.10641702686,0:08:03 (H:M:S)
Run-7,35.0,-2.0,5.0,51.04,46.1255952582,43.25,3.0,30.0,46.6732571865,11.856,457.07,171.5,9.8000000000000000e+01,468.926,171.5,9.8000000000000000e+01,20.219,452.617,171.5,5.0000000000000000e+01,472.836,171.5,5.0000000000000000e+01,28.954,448.234,171.5,0.0000000000000000e+00,477.188,171.5,0.0000000000000000e+00,32.3211874788,5.9732458796,0:08:41 (H:M:S)
Run-8,35.0,-2.0,6.0,51.04,46.1255952582,43.25,3.0,30.0,46.5023405377,11.9428571429,457.031,171.5,9.8000000000000000e+01,468.973857143,171.5,9.8000000000000000e+01,21.985,451.742,171.5,5.0000000000000000e+01,473.727,171.5,5.0000000000000000e+01,32.461,446.5,171.5,0.0000000000000000e+00,478.961,171.5,0.0000000000000000e+00,32.2852802796,7.00112139442,0:07:46 (H:M:S)
Run-9,35.0,-2.0,7.0,51.04,46.1255952582,43.25,3.0,30.0,44.9934917012,11.985,457.031,171.5,9.8000000000000000e+01,469.016,171.5,9.8000000000000000e+01,23.696,450.859,171.5,5.0000000000000000e+01,474.555,171.5,5.0000000000000000e+01,35.946,444.742,171.5,0.0000000000000000e+00,480.688,171.5,0.0000000000000000e+00,32.2551842889,7.91168329402,0:08:14 (H:M:S)
