# Command,Expeditor MC_VA_Analytics.csv --outputDir MC_VA_Analytics_Expeditor -overwrite -nocollect -np 4 -ntpp 1 --hashed -killflagfile C:/Users/began/AppData/Local/Temp/semuKillFiled14528
# Started,2018-10-12 21:48:14
# Output folder,C:\Users\began\Documents\Product_80\New_Tutorial\MC_VA\MC_VA_Analytics\MC_VA_Analytics_Expeditor

# Assembly File,..\14nmFinFET.zam


Run,2.1.15:thickness,2.1.9:lithography.dimensionalBias.xBias,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,CD_MAND_DEV,CD_MAND_FIN,SH_MAND_FIN,THK_PADOX_DEP,THK_PADNIT_DEP,Trench_CD,FinCD_Top,FinCD_Top_xStart,FinCD_Top_yStart,FinCD_Top_zStart,FinCD_Top_xEnd,FinCD_Top_yEnd,FinCD_Top_zEnd,FinCD_Mid,FinCD_Mid_xStart,FinCD_Mid_yStart,FinCD_Mid_zStart,FinCD_Mid_xEnd,FinCD_Mid_yEnd,FinCD_Mid_zEnd,FinCD_Bot,FinCD_Bot_xStart,FinCD_Bot_yStart,FinCD_Bot_zStart,FinCD_Bot_xEnd,FinCD_Bot_yEnd,FinCD_Bot_zEnd,GapCD_top,sidewall_angle,Duration
Run-0,39.377337759550727,0.16846548840783596,4.7869624584167312,47.03323926,42.1255952582,43.25,3.0,30.0,42.6763157895,14.894,456.016,171.5,9.8000000000000000e+01,470.91,171.5,9.8000000000000000e+01,22.508,452.148,171.5,5.0000000000000000e+01,474.656,171.5,5.0000000000000000e+01,30.859,447.977,171.5,0.0000000000000000e+00,478.836,171.5,0.0000000000000000e+00,30.3340574112,5.96276141832,0:09:13 (H:M:S)
Run-1,39.36202918226423,1.5385057643330347,5.6184497308358567,45.0186384457,40.1121599876,43.25,3.0,30.0,40.6056700041,14.91,457.039,171.5,9.8000000000000000e+01,471.949,171.5,9.8000000000000000e+01,23.868,452.484,171.5,5.0000000000000000e+01,476.352,171.5,5.0000000000000000e+01,33.68,447.578,171.5,0.0000000000000000e+00,481.258,171.5,0.0000000000000000e+00,32.3325363262,6.58537712575,0:11:20 (H:M:S)
Run-2,44.107483562334529,-3.8126167354620843,3.8929796944178072,55.0326223338,50.1255952582,43.25,3.0,30.0,50.7622105917,17.898,448.961,171.5,9.8000000000000000e+01,466.859,171.5,9.8000000000000000e+01,23.992,445.883,171.5,5.0000000000000000e+01,469.875,171.5,5.0000000000000000e+01,30.781,442.477,171.5,0.0000000000000000e+00,473.258,171.5,0.0000000000000000e+00,15.9837752747,5.30220035472,0:10:01 (H:M:S)
Run-3,41.746679190475838,-1.0922857325638184,4.6210234716085079,51.0038192234,44.8644344471,43.25,3.0,30.0,44.9286694102,16.367,453.016,171.5,9.8000000000000000e+01,469.383,171.5,9.8000000000000000e+01,23.757,449.313,171.5,5.0000000000000000e+01,473.07,171.5,5.0000000000000000e+01,31.829,445.273,171.5,0.0000000000000000e+00,477.102,171.5,0.0000000000000000e+00,24.3443095284,5.78280541341,0:12:00 (H:M:S)
Run-4,40.497309227574036,-2.2724277980520466,4.3187924046733333,53.0110987791,47.6685376252,43.25,3.0,30.0,48.722972973,15.399,452.484,171.5,9.8000000000000000e+01,467.883,171.5,9.8000000000000000e+01,22.508,448.719,171.5,5.0000000000000000e+01,471.227,171.5,5.0000000000000000e+01,30.055,444.945,171.5,0.0000000000000000e+00,475.0,171.5,0.0000000000000000e+00,22.8497475773,5.52125454935,0:11:13 (H:M:S)
Run-5,36.215600547073812,-2.0439233373180334,6.0752643519381717,53.0019114368,46.5665987088,43.25,3.0,30.0,46.5035183975,12.867,456.047,171.5,9.8000000000000000e+01,468.914,171.5,9.8000000000000000e+01,22.852,450.906,171.5,5.0000000000000000e+01,473.758,171.5,5.0000000000000000e+01,33.453,445.594,171.5,0.0000000000000000e+00,479.047,171.5,0.0000000000000000e+00,30.3130161438,7.01136749579,0:11:13 (H:M:S)
Run-6,36.631339277264615,0.77516195563786383,6.2218005128309901,47.0092048881,41.5683656958,43.25,3.0,30.0,41.7512481905,12.867,458.031,171.5,9.8000000000000000e+01,470.898,171.5,9.8000000000000000e+01,23.289,452.602,171.5,5.0000000000000000e+01,475.891,171.5,5.0000000000000000e+01,34.157,447.148,171.5,0.0000000000000000e+00,481.305,171.5,0.0000000000000000e+00,34.2817816814,7.0583665292,0:11:29 (H:M:S)
Run-7,38.812603736310223,1.3260442385120772,5.8057480320895483,45.0270525322,40.1255952582,43.25,3.0,30.0,40.6012474349,14.498,457.461,171.5,9.8000000000000000e+01,471.959,171.5,9.8000000000000000e+01,24.102,452.414,171.5,5.0000000000000000e+01,476.516,171.5,5.0000000000000000e+01,34.258,447.336,171.5,0.0000000000000000e+00,481.594,171.5,0.0000000000000000e+00,32.7863546326,6.59225277077,0:08:48 (H:M:S)
Run-8,39.340002117263062,2.8262198965034999,3.3954936863498677,43.0069907849,36.9555304037,43.25,3.0,30.0,38.7931638913,14.586,458.242,171.5,9.8000000000000000e+01,472.828,171.5,9.8000000000000000e+01,19.937,455.477,171.5,5.0000000000000000e+01,475.414,171.5,5.0000000000000000e+01,25.875,452.508,171.5,0.0000000000000000e+00,478.383,171.5,0.0000000000000000e+00,34.8031358109,4.64001557969,0:12:47 (H:M:S)
Run-9,38.674316533835594,1.6821066736498067,6.5207715513335884,45.0129890702,39.6927003478,43.25,3.0,30.0,38.9963877182,14.398,457.594,171.5,9.8000000000000000e+01,471.992,171.5,9.8000000000000000e+01,25.258,451.883,171.5,5.0000000000000000e+01,477.141,171.5,5.0000000000000000e+01,36.695,446.164,171.5,0.0000000000000000e+00,482.859,171.5,0.0000000000000000e+00,32.8637106797,7.4596841521,0:10:25 (H:M:S)
