# Command,Expeditor PWO2_Analytics.csv --outputDir PWO2_Analytics_Expeditor -overwrite -nocollect -np 4 -ntpp 1 --hashed -killflagfile C:/Users/began/AppData/Local/Temp/semuKillFileU14596
# Started,2019-05-03 19:23:22
# Output folder,C:\Users\began\Documents\Product_80\Tutorial_PWO_2\PWO2_Analytics\PWO2_Analytics_Expeditor

# Assembly File,..\14nmFinFET.zam


Run,2.1.15:thickness,2.1.9:lithography.dimensionalBias.xBias,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,CD_MAND_DEV,CD_MAND_FIN,SH_MAND_FIN,THK_PADOX_DEP,THK_PADNIT_DEP,Trench_CD,FinCD_Top,FinCD_Top_xStart,FinCD_Top_yStart,FinCD_Top_zStart,FinCD_Top_xEnd,FinCD_Top_yEnd,FinCD_Top_zEnd,FinCD_Mid,FinCD_Mid_xStart,FinCD_Mid_yStart,FinCD_Mid_zStart,FinCD_Mid_xEnd,FinCD_Mid_yEnd,FinCD_Mid_zEnd,FinCD_Bot,FinCD_Bot_xStart,FinCD_Bot_yStart,FinCD_Bot_zStart,FinCD_Bot_xEnd,FinCD_Bot_yEnd,FinCD_Bot_zEnd,GapCD_top,sidewall_angle,Duration
Run-0,40.820693973022429,2.6942333785432577,4.4756165560516337,43.0123593725,37.6847326579,43.25,3.0,30.0,38.7220338983,15.805,457.078,171.5,9.8000000000000000e+01,472.883,171.5,9.8000000000000000e+01,22.89,453.477,171.5,5.0000000000000000e+01,476.367,171.5,5.0000000000000000e+01,30.711,449.57,171.5,0.0000000000000000e+00,480.281,171.5,0.0000000000000000e+00,32.5424598824,5.55994726331,0:10:26 (H:M:S)
Run-1,39.493639229523126,-3.550958860363596,3.7274729931683792,55.0223868832,50.1255952582,43.25,3.0,30.0,50.7906772208,14.891,451.953,171.5,9.8000000000000000e+01,466.844,171.5,9.8000000000000000e+01,20.711,449.008,171.5,5.0000000000000000e+01,469.719,171.5,5.0000000000000000e+01,27.211,445.75,171.5,0.0000000000000000e+00,472.961,171.5,0.0000000000000000e+00,21.9820236412,5.31198676596,0:10:18 (H:M:S)
Run-2,42.515301881577635,0.59385340710180579,6.7418116809646884,47.0164452878,41.7644860697,43.25,3.0,30.0,40.9963789982,16.969,454.039,171.5,9.8000000000000000e+01,471.008,171.5,9.8000000000000000e+01,27.86,448.453,171.5,5.0000000000000000e+01,476.313,171.5,5.0000000000000000e+01,39.64,442.563,171.5,0.0000000000000000e+00,482.203,171.5,0.0000000000000000e+00,26.3067532328,7.5210805607,0:11:10 (H:M:S)
Run-3,41.081635041374447,1.1291871479515221,6.0856948215779632,45.0347798841,40.1255952582,43.25,3.0,30.0,40.5038130043,15.971,456.0,171.5,9.8000000000000000e+01,471.971,171.5,9.8000000000000000e+01,26.039,450.727,171.5,5.0000000000000000e+01,476.766,171.5,5.0000000000000000e+01,36.665,445.398,171.5,0.0000000000000000e+00,482.063,171.5,0.0000000000000000e+00,29.9207620146,7.01290698528,0:08:43 (H:M:S)
Run-4,43.271022953348677,-1.1718820417388507,4.2982463329570111,51.0069907849,44.9555304037,43.25,3.0,30.0,46.7554240631,17.024,451.859,171.5,9.8000000000000000e+01,468.883,171.5,9.8000000000000000e+01,24.25,447.922,171.5,5.0000000000000000e+01,472.172,171.5,5.0000000000000000e+01,31.797,444.148,171.5,0.0000000000000000e+00,475.945,171.5,0.0000000000000000e+00,20.9912310673,5.56530026131,0:12:36 (H:M:S)
Run-5,39.658520448868273,3.2638278972017964,6.5486889834686632,41.0295318882,36.1255952582,43.25,3.0,30.0,34.9969908519,15.023,458.969,171.5,9.8000000000000000e+01,473.992,171.5,9.8000000000000000e+01,25.929,453.227,171.5,5.0000000000000000e+01,479.156,171.5,5.0000000000000000e+01,37.375,447.523,171.5,0.0000000000000000e+00,484.898,171.5,0.0000000000000000e+00,35.8984023627,NOVAL,0:08:26 (H:M:S)
Run-6,43.067791428205624,3.6533729791794141,6.751075261440409,41.0139328689,35.7075762129,43.25,3.0,30.0,34.9951705399,17.1105714286,456.797,171.5,9.8000000000000000e+01,473.907571429,171.5,9.8000000000000000e+01,28.57,450.758,171.5,5.0000000000000000e+01,479.328,171.5,5.0000000000000000e+01,40.375,444.852,171.5,0.0000000000000000e+00,485.227,171.5,0.0000000000000000e+00,30.9484980765,NOVAL,0:10:24 (H:M:S)
Run-7,39.098029819648623,-3.6645816949143644,4.4528127782937554,55.026742174,50.1255952582,43.25,3.0,30.0,50.7242937853,14.598,452.289,171.5,9.8000000000000000e+01,466.887,171.5,9.8000000000000000e+01,21.813,448.531,171.5,5.0000000000000000e+01,470.344,171.5,5.0000000000000000e+01,29.586,444.648,171.5,0.0000000000000000e+00,474.234,171.5,0.0000000000000000e+00,22.6997371605,5.71014998041,0:08:51 (H:M:S)
Run-8,43.963647570288458,-1.9942636006645644,5.6422054168330664,51.0396937021,46.1255952582,43.25,3.0,30.0,46.605674911,17.873,451.07,171.5,9.8000000000000000e+01,468.943,171.5,9.8000000000000000e+01,26.914,446.445,171.5,5.0000000000000000e+01,473.359,171.5,5.0000000000000000e+01,36.773,441.516,171.5,0.0000000000000000e+00,478.289,171.5,0.0000000000000000e+00,20.3390341062,6.58439605622,0:09:09 (H:M:S)
Run-9,37.216119043409023,-0.90549327112578304,5.0506258143798668,49.0363180964,44.1255952582,43.25,3.0,30.0,44.673928122,13.383,456.531,171.5,9.8000000000000000e+01,469.914,171.5,9.8000000000000000e+01,21.781,452.102,171.5,5.0000000000000000e+01,473.883,171.5,5.0000000000000000e+01,30.578,447.703,171.5,0.0000000000000000e+00,478.281,171.5,0.0000000000000000e+00,30.8611598474,6.00818849155,0:08:32 (H:M:S)
Run-10,43.265961730952561,-1.6019103345786903,5.1017766938453413,51.0242557883,46.1255952582,43.25,3.0,30.0,46.6750011686,17.308,451.602,171.5,9.8000000000000000e+01,468.91,171.5,9.8000000000000000e+01,25.836,447.07,171.5,5.0000000000000000e+01,472.906,171.5,5.0000000000000000e+01,34.711,442.633,171.5,0.0000000000000000e+00,477.344,171.5,0.0000000000000000e+00,20.9078125784,6.01105059232,0:09:49 (H:M:S)
Run-11,44.865010154535,-2.0509802321761565,5.7836409670679991,53.0022296544,46.7149267348,43.25,3.0,30.0,46.5999936039,18.588,450.359,171.5,9.8000000000000000e+01,468.947,171.5,9.8000000000000000e+01,28.117,445.367,171.5,5.0000000000000000e+01,473.484,171.5,5.0000000000000000e+01,38.218,440.313,171.5,0.0000000000000000e+00,478.531,171.5,0.0000000000000000e+00,18.6959190343,6.59126966076,0:11:18 (H:M:S)
Run-12,43.118688488940329,-2.488026948324257,5.6671601367235835,53.0195768866,48.116878026,43.25,3.0,30.0,48.6031423007,17.207,450.742,171.5,9.8000000000000000e+01,467.949,171.5,9.8000000000000000e+01,26.742,445.641,171.5,5.0000000000000000e+01,472.383,171.5,5.0000000000000000e+01,36.641,440.695,171.5,0.0000000000000000e+00,477.336,171.5,0.0000000000000000e+00,18.9412863038,6.58390563059,0:10:21 (H:M:S)
Run-13,35.673125772662587,3.3449941214408092,4.6653951262329763,41.0264317181,36.1255952582,43.25,3.0,30.0,36.679369251,12.3475,461.547,171.5,9.8000000000000000e+01,473.8945,171.5,9.8000000000000000e+01,20.101,457.422,171.5,5.0000000000000000e+01,477.523,171.5,5.0000000000000000e+01,28.289,453.328,171.5,0.0000000000000000e+00,481.617,171.5,0.0000000000000000e+00,40.8690346383,5.52125454935,0:08:28 (H:M:S)
Run-14,37.382155717658783,-1.0382048050815884,3.3165184029232022,51.0015931177,44.5288804798,43.25,3.0,30.0,44.8178939034,13.508,456.305,171.5,9.8000000000000000e+01,469.813,171.5,9.8000000000000000e+01,18.805,453.531,171.5,5.0000000000000000e+01,472.336,171.5,5.0000000000000000e+01,24.601,450.633,171.5,0.0000000000000000e+00,475.234,171.5,0.0000000000000000e+00,30.8180984624,4.67907208723,0:10:47 (H:M:S)
Run-15,44.075259690259578,-1.9256283972050197,4.9422339946766636,51.0372398686,46.1255952582,43.25,3.0,30.0,46.6767440254,17.929,450.977,171.5,9.8000000000000000e+01,468.906,171.5,9.8000000000000000e+01,25.774,446.984,171.5,5.0000000000000000e+01,472.758,171.5,5.0000000000000000e+01,34.383,442.672,171.5,0.0000000000000000e+00,477.055,171.5,0.0000000000000000e+00,19.9777514533,5.96799906091,0:09:12 (H:M:S)
Run-16,39.427353102869688,-2.5494435686436381,4.3449570760252421,53.0220750552,48.1255952582,43.25,3.0,30.0,48.7239442091,14.899,452.984,171.5,9.8000000000000000e+01,467.883,171.5,9.8000000000000000e+01,21.727,449.523,171.5,5.0000000000000000e+01,471.25,171.5,5.0000000000000000e+01,29.32,445.727,171.5,0.0000000000000000e+00,475.047,171.5,0.0000000000000000e+00,23.9953014689,5.52200806907,0:10:32 (H:M:S)
Run-17,42.101717218392622,3.5859903065122927,5.92607764766991,41.0167588933,36.2002324255,43.25,3.0,30.0,36.6025079409,16.561,457.352,171.5,9.8000000000000000e+01,473.913,171.5,9.8000000000000000e+01,26.352,452.273,171.5,5.0000000000000000e+01,478.625,171.5,5.0000000000000000e+01,36.711,447.094,171.5,0.0000000000000000e+00,483.805,171.5,0.0000000000000000e+00,32.6942642558,NOVAL,0:09:26 (H:M:S)
Run-18,41.308954048798725,2.3471229230322832,4.4974348765974508,43.0264317181,38.1255952582,43.25,3.0,30.0,38.7239819005,15.979,456.906,171.5,9.8000000000000000e+01,472.885,171.5,9.8000000000000000e+01,23.618,452.773,171.5,5.0000000000000000e+01,476.391,171.5,5.0000000000000000e+01,31.476,448.844,171.5,0.0000000000000000e+00,480.32,171.5,0.0000000000000000e+00,31.933907629,5.56071134874,0:08:38 (H:M:S)
Run-19,43.927017484092566,-0.62844069411308467,6.370011211957312,49.0251889169,44.1255952582,43.25,3.0,30.0,42.9955156908,17.946,452.07,171.5,9.8000000000000000e+01,470.016,171.5,9.8000000000000000e+01,28.132,446.852,171.5,5.0000000000000000e+01,474.984,171.5,5.0000000000000000e+01,39.297,441.266,171.5,0.0000000000000000e+00,480.563,171.5,0.0000000000000000e+00,22.3283145529,7.06565284886,0:09:50 (H:M:S)
Run-20,40.071508137540022,0.25997025684544983,6.0309318896771629,47.0298413696,42.1255952582,43.25,3.0,30.0,41.751199247,15.277,455.633,171.5,9.8000000000000000e+01,470.91,171.5,9.8000000000000000e+01,25.43,450.289,171.5,5.0000000000000000e+01,475.719,171.5,5.0000000000000000e+01,35.954,445.023,171.5,0.0000000000000000e+00,480.977,171.5,0.0000000000000000e+00,28.8781627424,7.00163299175,0:08:52 (H:M:S)
Run-21,35.218562249714807,3.4311201604350341,5.404339300618858,41.0230102443,36.1255952582,43.25,3.0,30.0,36.6028263932,12.058,461.891,171.5,9.8000000000000000e+01,473.949,171.5,9.8000000000000000e+01,21.227,456.961,171.5,5.0000000000000000e+01,478.188,171.5,5.0000000000000000e+01,30.703,452.227,171.5,0.0000000000000000e+00,482.93,171.5,0.0000000000000000e+00,41.8981539034,6.58734013826,0:09:11 (H:M:S)
Run-22,41.176105311551574,1.9300333623195023,4.2500618257202039,45.0028657857,38.7650515586,43.25,3.0,30.0,38.7268623025,16.086,456.781,171.5,9.8000000000000000e+01,472.867,171.5,9.8000000000000000e+01,23.297,452.867,171.5,5.0000000000000000e+01,476.164,171.5,5.0000000000000000e+01,30.765,449.133,171.5,0.0000000000000000e+00,479.898,171.5,0.0000000000000000e+00,30.9826689775,5.51786624604,0:11:11 (H:M:S)
Run-23,41.703765051366332,-3.4381298074581865,5.6039536241906056,55.017699115,50.2045220138,43.25,3.0,30.0,50.6069383106,16.3475,450.594,171.5,9.8000000000000000e+01,466.9415,171.5,9.8000000000000000e+01,25.656,445.672,171.5,5.0000000000000000e+01,471.328,171.5,5.0000000000000000e+01,35.446,440.781,171.5,0.0000000000000000e+00,476.227,171.5,0.0000000000000000e+00,18.8726537743,6.58341527768,0:10:28 (H:M:S)
Run-24,37.348348793308098,-2.2246160277785183,6.5543297362377508,53.0092048881,47.5683656958,43.25,3.0,30.0,46.9963877182,13.508,454.492,171.5,9.8000000000000000e+01,468.0,171.5,9.8000000000000000e+01,24.343,448.813,171.5,5.0000000000000000e+01,473.156,171.5,5.0000000000000000e+01,35.836,443.07,171.5,0.0000000000000000e+00,478.906,171.5,0.0000000000000000e+00,26.7882704126,7.46237972427,0:11:41 (H:M:S)
