# Command,Expeditor Verify_PWO_Analytics.csv --outputDir Verify_PWO_Analytics_Expeditor -overwrite -nocollect -np 4 -ntpp 1 --hashed -killflagfile C:/Users/began/AppData/Local/Temp/semuKillFileU12556
# Started,2019-05-14 11:34:39
# Output folder,C:\Users\began\Documents\Product_80\Tutorial_PWO_2\Verify_PWO\Verify_PWO_Analytics\Verify_PWO_Analytics_Expeditor

# Assembly File,..\14nmFinFET.zam


Run,2.1.15:thickness,2.1.9:lithography.dimensionalBias.xBias,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,CD_MAND_DEV,CD_MAND_FIN,SH_MAND_FIN,THK_PADOX_DEP,THK_PADNIT_DEP,Trench_CD,FinCD_Top,FinCD_Top_xStart,FinCD_Top_yStart,FinCD_Top_zStart,FinCD_Top_xEnd,FinCD_Top_yEnd,FinCD_Top_zEnd,FinCD_Mid,FinCD_Mid_xStart,FinCD_Mid_yStart,FinCD_Mid_zStart,FinCD_Mid_xEnd,FinCD_Mid_yEnd,FinCD_Mid_zEnd,FinCD_Bot,FinCD_Bot_xStart,FinCD_Bot_yStart,FinCD_Bot_zStart,FinCD_Bot_xEnd,FinCD_Bot_yEnd,FinCD_Bot_zEnd,GapCD_top,sidewall_angle,Duration
Run-0,38.275985374629329,-0.19247979204622068,3.7238827312477309,49.007940289,43.5476670399,43.25,3.0,30.0,44.7906772208,13.781,456.063,171.5,9.8000000000000000e+01,469.844,171.5,9.8000000000000000e+01,19.852,452.867,171.5,5.0000000000000000e+01,472.719,171.5,5.0000000000000000e+01,26.344,449.617,171.5,0.0000000000000000e+00,475.961,171.5,0.0000000000000000e+00,30.3596421763,5.1106758747,0:12:18 (H:M:S)
Run-1,37.505843537132222,1.123987384326627,4.0129964408789025,45.0350877193,40.1255952582,43.25,3.0,30.0,40.762611276,13.539,458.32,171.5,9.8000000000000000e+01,471.859,171.5,9.8000000000000000e+01,20.023,454.938,171.5,5.0000000000000000e+01,474.961,171.5,5.0000000000000000e+01,27.031,451.43,171.5,0.0000000000000000e+00,478.461,171.5,0.0000000000000000e+00,34.7738509466,5.10641702686,0:09:36 (H:M:S)
Run-2,38.299345399393154,1.4954697092528497,4.2987545885103549,45.020514439,40.1213255607,43.25,3.0,30.0,40.7252252252,13.965,457.922,171.5,9.8000000000000000e+01,471.887,171.5,9.8000000000000000e+01,21.258,453.953,171.5,5.0000000000000000e+01,475.211,171.5,5.0000000000000000e+01,28.789,450.18,171.5,0.0000000000000000e+00,478.969,171.5,0.0000000000000000e+00,33.9401590056,5.51899521974,0:11:47 (H:M:S)
Run-3,37.403254976767471,-0.86019467378842696,4.1637672227770439,49.0344719524,44.1255952582,43.25,3.0,30.0,44.7623762376,13.433,456.43,171.5,9.8000000000000000e+01,469.863,171.5,9.8000000000000000e+01,20.242,452.836,171.5,5.0000000000000000e+01,473.078,171.5,5.0000000000000000e+01,27.554,449.18,171.5,0.0000000000000000e+00,476.734,171.5,0.0000000000000000e+00,30.7882250066,5.11387466305,0:08:15 (H:M:S)
Run-4,38.877540666557216,-0.6599762441537399,4.0891386784651411,49.0264317181,44.1255952582,43.25,3.0,30.0,44.7615046371,14.347,455.516,171.5,9.8000000000000000e+01,469.863,171.5,9.8000000000000000e+01,21.109,451.914,171.5,5.0000000000000000e+01,473.023,171.5,5.0000000000000000e+01,28.274,448.328,171.5,0.0000000000000000e+00,476.602,171.5,0.0000000000000000e+00,28.8627754347,5.11032070012,0:09:18 (H:M:S)
Run-5,38.554016592820162,-0.28684223856629038,4.1508692777288605,49.0117292756,43.6835703979,43.25,3.0,30.0,44.7274774775,14.027,455.836,171.5,9.8000000000000000e+01,469.863,171.5,9.8000000000000000e+01,21.078,452.0,171.5,5.0000000000000000e+01,473.078,171.5,5.0000000000000000e+01,28.344,448.375,171.5,0.0000000000000000e+00,476.719,171.5,0.0000000000000000e+00,28.9930735931,5.06805426236,0:10:24 (H:M:S)
Run-6,38.221863451621289,0.46847737575821047,4.386631704460056,47.0214511041,42.1240110693,43.25,3.0,30.0,42.7246049661,13.86,457.023,171.5,9.8000000000000000e+01,470.883,171.5,9.8000000000000000e+01,21.219,453.07,171.5,5.0000000000000000e+01,474.289,171.5,5.0000000000000000e+01,28.875,449.242,171.5,0.0000000000000000e+00,478.117,171.5,0.0000000000000000e+00,32.3101534388,5.52842127467,0:11:03 (H:M:S)
Run-7,37.802397692437722,-1.0494606808552038,4.3709038080210112,51.0019114368,44.5665987088,43.25,3.0,30.0,44.7285067873,13.879,456.0,171.5,9.8000000000000000e+01,469.879,171.5,9.8000000000000000e+01,20.82,452.453,171.5,5.0000000000000000e+01,473.273,171.5,5.0000000000000000e+01,28.461,448.633,171.5,0.0000000000000000e+00,477.094,171.5,0.0000000000000000e+00,29.9852505514,5.52276179386,0:11:45 (H:M:S)
Run-8,36.809495075241678,-0.39226990061464262,4.1629450847425744,49.0158177792,43.7162529061,43.25,3.0,30.0,44.7603960396,12.953,456.914,171.5,9.8000000000000000e+01,469.867,171.5,9.8000000000000000e+01,20.039,453.047,171.5,5.0000000000000000e+01,473.086,171.5,5.0000000000000000e+01,27.312,449.422,171.5,0.0000000000000000e+00,476.734,171.5,0.0000000000000000e+00,31.9357156008,5.11103109852,0:10:50 (H:M:S)
Run-9,37.787854344992006,0.99978058169589457,3.8920005576293741,45.04,40.1255952582,43.25,3.0,30.0,40.7633136095,13.789,458.063,171.5,9.8000000000000000e+01,471.852,171.5,9.8000000000000000e+01,19.984,454.883,171.5,5.0000000000000000e+01,474.867,171.5,5.0000000000000000e+01,26.766,451.484,171.5,0.0000000000000000e+00,478.25,171.5,0.0000000000000000e+00,34.3684678243,5.10322753382,0:09:00 (H:M:S)
